HOME;AWAY;FTHG;FTAG
Eintracht Rheine (Ger);Rodinghausen (Ger);1;5
Etoile-Carouge (Sui);Chenois (Sui);1;2
Hebar (Bul);Spartak Plovdiv (Bul);3;1
Horn (Aut);Lisen (Cze);2;5
SC Dusseldorf (Ger);Dusseldorf II (Ger);0;4
Sonsbeck (Ger);Duisburg (Ger);1;7
TSV Havelse (Ger);Lupo-Martini Wolfsburg (Ger);-;-
Wolfenbuttel (Ger);Braunschweig (Ger);1;8
Bad Westernkotten (Ger);Paderborn II (Ger);2;9
Burscough (Eng);Chorley (Eng);-;-
Gala Fairydean (Sco);Edinburgh City (Sco);3;3
Celaya (Mex);Petroleros Salamanca (Mex);1;0
Colo Colo (Chi);U. de Deportes (Per);0;0
"Alianza Lima (Per)
2";Bolivar (Bol);2;3
Club Leon (Mex);Irapuato (Mex);3;0
Kazakhstan U19 W;Kyrgyzstan U19 W;2;0
